,0,1,2
1164,-1037,18,33
1165,-1036,20,31
1166,-1036,17,25
1167,-1036,21,27
1168,-1034,18,27
1169,-1035,19,27
1170,-1033,20,22
1171,-1030,16,22
1172,-1031,16,27
1173,-1027,18,27
1174,-1029,18,27
1175,-1026,18,25
1176,-1028,17,26
1177,-1031,19,31
1178,-1028,17,29
1179,-1028,19,26
1180,-1032,19,26
1181,-1028,22,26
1182,-1029,21,29
1183,-1031,21,29
1184,-1032,20,27
1185,-1033,23,31
1186,-1034,19,29
1187,-1032,20,34
1188,-1038,19,34
1189,-1033,19,33
1190,-1032,23,29
1191,-1035,24,30
1192,-1034,24,31
1193,-1034,22,28
1194,-1037,23,25
1195,-1037,20,26
1196,-1040,18,10
1197,-1035,20,28
1198,-1037,23,61
1199,-1040,23,60
1200,-1043,20,30
1201,-1036,19,18
1202,-1034,15,8
1203,-1027,18,14
1204,-1022,18,26
1205,-1022,16,36
1206,-1026,16,28
1207,-1034,13,22
1208,-1032,16,20
1209,-1031,16,30
1210,-1033,18,27
1211,-1033,16,27
1212,-1032,18,28
1213,-1030,20,26
1214,-1030,17,30
1215,-1030,17,26
1216,-1029,21,30
1217,-1032,18,30
1218,-1032,19,36
1219,-1029,18,29
1220,-1032,22,31
1221,-1034,22,30
1222,-1037,18,30
1223,-1034,20,27
1224,-1033,19,27
1225,-1036,19,28
1226,-1036,19,30
1227,-1038,18,30
1228,-1036,17,30
1229,-1036,15,32
1230,-1034,18,28
1231,-1038,14,26
1232,-1036,18,32
1233,-1031,18,31
1234,-1033,16,27
1235,-1032,17,29
1236,-1034,17,31
1237,-1031,19,28
1238,-1033,20,31
1239,-1033,16,26
1240,-1030,18,28
1241,-1031,19,28
1242,-1030,18,30
1243,-1034,16,33
1244,-1032,19,24
1245,-1034,16,29
1246,-1031,18,27
1247,-1033,15,25
1248,-1038,17,29
1249,-1034,13,29
1250,-1039,20,24
1251,-1036,15,31
1252,-1034,18,27
1253,-1034,20,25
1254,-1036,20,21
1255,-1037,21,26
1256,-1034,20,26
1257,-1034,18,28
1258,-1037,18,26
1259,-1033,17,28
1260,-1040,11,31
1261,-1036,17,32
1262,-1031,16,29
1263,-1032,16,29
1264,-1037,14,30
1265,-1034,16,28
1266,-1029,18,31
1267,-1032,17,33
1268,-1032,16,30
1269,-1032,18,30
1270,-1031,15,30
1271,-1032,14,26
1272,-1029,17,31
1273,-1033,19,29
1274,-1030,18,24
1275,-1035,20,27
1276,-1036,22,24
1277,-1035,19,27
1278,-1036,20,24
1279,-1036,18,25
1280,-1037,18,26
1281,-1033,17,28
1282,-1034,19,22
1283,-1035,19,25
1284,-1034,20,30
1285,-1036,20,28
1286,-1033,17,32
1287,-1034,15,31
1288,-1032,17,32
1289,-1033,22,30
1290,-1030,19,31
1291,-1033,19,29
1292,-1028,18,31
