,0
2023,-97
2024,-124
2025,-82
2026,-65
2027,-80
2028,-82
2029,-72
2030,-63
2031,-53
2032,-43
2033,-48
2034,-58
2035,-51
2036,-31
2037,-24
2038,-21
2039,-19
2040,-21
2041,-26
2042,-24
2043,-26
2044,-38
2045,-53
2046,-68
2047,-85
2048,-92
2049,-92
2050,-104
2051,-121
2052,-143
2053,-180
2054,-204
2055,-194
2056,-180
2057,-182
2058,-177
2059,-165
2060,-158
2061,-163
2062,-177
2063,-182
2064,-165
2065,-158
2066,-165
2067,-158
2068,-145
2069,-145
2070,-148
2071,-145
2072,-143
2073,-141
2074,-131
2075,-126
2076,-126
2077,-121
2078,-121
2079,-119
2080,-109
2081,-104
2082,-104
2083,-97
2084,-92
2085,-94
2086,-87
2087,-80
2088,-82
2089,-80
2090,-70
2091,-68
2092,-65
2093,-60
2094,-60
2095,-58
2096,-51
2097,-51
2098,-63
2099,-63
2100,-55
2101,-53
2102,-46
2103,-41
2104,-46
2105,-46
2106,-51
2107,-55
2108,-55
2109,-38
2110,-24
2111,-19
2112,-7
2113,4
2114,-2
2115,-12
2116,-24
2117,-34
2118,-26
2119,-19
2120,-14
2121,-7
2122,-9
2123,-17
2124,21
2125,214
2126,635
2127,1143
2128,1143
2129,240
2130,-557
2131,-347
2132,-14
2133,-155
2134,-211
2135,-121
2136,-163
2137,-192
2138,-131
2139,-114
2140,-119
2141,-102
2142,-97
2143,-99
2144,-94
2145,-82
2146,-70
2147,-63
2148,-65
2149,-58
2150,-43
2151,-36
2152,-36
2153,-38
2154,-43
2155,-51
2156,-53
2157,-53
2158,-55
2159,-60
2160,-68
2161,-85
2162,-109
2163,-126
2164,-138
2165,-153
2166,-165
2167,-172
2168,-175
2169,-167
2170,-158
2171,-148
2172,-143
2173,-138
2174,-131
2175,-121
2176,-111
2177,-109
2178,-104
2179,-104
2180,-104
2181,-104
2182,-99
2183,-99
2184,-102
2185,-102
2186,-102
2187,-102
2188,-97
2189,-92
2190,-94
2191,-92
2192,-90
2193,-94
2194,-109
2195,-124
2196,-121
2197,-109
2198,-114
2199,-138
2200,-145
2201,-131
2202,-126
2203,-124
2204,-114
2205,-114
2206,-114
2207,-104
2208,-97
2209,-94
2210,-90
2211,-87
2212,-97
2213,-99
2214,-90
2215,-68
2216,-43
2217,-24
2218,-21
2219,-34
2220,-46
2221,-48
2222,-48
2223,-43
2224,-38
2225,-48
2226,-55
2227,-53
2228,-41
2229,-14
2230,102
2231,420
2232,919
2233,1150
2234,528
2235,-394
2236,-440
2237,-26
2238,-65
2239,-197
2240,-94
2241,-60
2242,-107
2243,-85
2244,-63
2245,-65
2246,-53
2247,-38
2248,-34
2249,-29
2250,-29
2251,-21
2252,-4
2253,2
2254,7
2255,12
2256,7
2257,-2
2258,-9
2259,-14
2260,-31
2261,-65
2262,-90
2263,-87
2264,-85
2265,-85
2266,-80
2267,-87
2268,-121
2269,-160
2270,-170
2271,-167
2272,-172
2273,-172
2274,-167
2275,-160
2276,-150
2277,-141
2278,-138
2279,-138
2280,-141
2281,-153
2282,-153
2283,-141
2284,-136
2285,-138
2286,-138
2287,-143
2288,-145
2289,-145
2290,-150
2291,-153
2292,-150
2293,-153
2294,-150
2295,-143
2296,-136
2297,-131
2298,-128
2299,-126
2300,-121
2301,-116
2302,-114
2303,-109
2304,-104
2305,-102
2306,-94
2307,-92
2308,-92
2309,-87
2310,-85
2311,-87
2312,-94
2313,-94
2314,-72
2315,-48
2316,-41
2317,-31
2318,-21
2319,-38
2320,-58
2321,-68
2322,-75
2323,-72
2324,-58
2325,-53
2326,-72
2327,-94
2328,-87
2329,-24
2330,170
2331,588
2332,1034
2333,875
2334,-36
2335,-603
2336,-270
2337,-2
2338,-155
2339,-170
2340,-77
2341,-104
2342,-114
2343,-70
2344,-75
2345,-109
2346,-104
2347,-80
2348,-70
2349,-60
